State	2020 Census Apportionment Population	2020 Census Resident Population	2020 Census Overseas Population	2010 Census Apportionment Population1 	2010 Census Resident Population	2010 Census Overseas Population
Alabama	5030053	5024279	5774	4802982	4779736	23246
Alaska	736081	733391	2690	721523	710231	11292
Arizona	7158923	7151502	7421	6412700	6392017	20683
Arkansas	3013756	3011524	2232	2926229	2915918	10311
California	39576757	39538223	38534	37341989	37253956	88033
Colorado	5782171	5773714	8457	5044930	5029196	15734
Connecticut	3608298	3605944	2354	3581628	3574097	7531
Delaware	990837	989948	889	900877	897934	2943
District of Columbia	X	689545	1988	X	601723	2875
Florida	21570527	21538187	32340	18900773	18801310	99463
Georgia	10725274	10711908	13366	9727566	9687653	39913
Hawaii	1460137	1455271	4866	1366862	1360301	6561
Idaho	1841377	1839106	2271	1573499	1567582	5917
Illinois	12822739	12812508	10231	12864380	12830632	33748
Indiana	6790280	6785528	4752	6501582	6483802	17780
Iowa	3192406	3190369	2037	3053787	3046355	7432
Kansas	2940865	2937880	2985	2863813	2853118	10695
Kentucky	4509342	4505836	3506	4350606	4339367	11239
Louisiana	4661468	4657757	3711	4553962	4533372	20590
Maine	1363582	1362359	1223	1333074	1328361	4713
Maryland	6185278	6177224	8054	5789929	5773552	16377
Massachusetts	7033469	7029917	3552	6559644	6547629	12015
Michigan	10084442	10077331	7111	9911626	9883640	27986
Minnesota	5709752	5706494	3258	5314879	5303925	10954
Mississippi	2963914	2961279	2635	2978240	2967297	10943
Missouri	6160281	6154913	5368	6011478	5988927	22551
Montana	1085407	1084225	1182	994416	989415	5001
Nebraska	1963333	1961504	1829	1831825	1826341	5484
Nevada	3108462	3104614	3848	2709432	2700551	8881
New Hampshire	1379089	1377529	1560	1321445	1316470	4975
New Jersey	9294493	9288994	5499	8807501	8791894	15607
New Mexico	2120220	2117522	2698	2067273	2059179	8094
New York	20215751	20201249	14502	19421055	19378102	42953
North Carolina	10453948	10439388	14560	9565781	9535483	30298
North Dakota	779702	779094	608	675905	672591	3314
Ohio	11808848	11799448	9400	11568495	11536504	31991
Oklahoma	3963516	3959353	4163	3764882	3751351	13531
Oregon	4241500	4237256	4244	3848606	3831074	17532
Pennsylvania	13011844	13002700	9144	12734905	12702379	32526
Rhode Island	1098163	1097379	784	1055247	1052567	2680
South Carolina	5124712	5118425	6287	4645975	4625364	20611
South Dakota	887770	886667	1103	819761	814180	5581
Tennessee	6916897	6910840	6057	6375431	6346105	29326
Texas	29183290	29145505	37785	25268418	25145561	122857
Utah	3275252	3271616	3636	2770765	2763885	6880
Vermont	643503	643077	426	630337	625741	4596
Virginia	8654542	8631393	23149	8037736	8001024	36712
Washington	7715946	7705281	10665	6753369	6724540	28829
West Virginia	1795045	1793716	1329	1859815	1852994	6821
Wisconsin	5897473	5893718	3755	5698230	5686986	11244
Wyoming	577719	576851	868	568300	563626	4674
Puerto Rico	X	3285874	X	X	3725789	X
